City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
134,Prince Albert,CA,64.35,scattered clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
138,Muravlenko,RU,60.12,few clouds,63.7898,74.523,Hostel Rus Muravlenko
139,Kasungu,MW,72.82,overcast clouds,-13.0333,33.4833,Mame Motel
140,Grindavik,IS,61.56,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
141,Staryy Nadym,RU,64.74,scattered clouds,65.6118,72.6842,
146,Saint-Augustin,CA,63.54,overcast clouds,51.226,-58.6502,
147,Carnarvon,AU,62.67,few clouds,-24.8667,113.6333,Hospitality Carnarvon
148,Port Alfred,ZA,73.56,clear sky,-33.5906,26.891,The Halyards Hotel
149,Saldanha,ZA,62.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
150,Semey,KZ,79.02,clear sky,50.4111,80.2275,Grand Hotel Semey
152,Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
153,Cidreira,BR,62.6,few clouds,-30.1811,-50.2056,Hotel Castelo
154,Saint-Pierre,RE,75.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
159,Muros,ES,76.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
163,Shimoda,JP,74.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
166,Kununurra,AU,66.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
167,Wattegama,LK,79.72,overcast clouds,6.7989,81.4808,
168,Tabuk,PH,78.73,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
170,Broome,US,66.67,overcast clouds,42.2506,-75.833,Chenango Valley State Park
176,Slave Lake,CA,62.58,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
177,Qinhuangdao,CN,75.22,overcast clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
178,Nanakuli,US,78.75,broken clouds,21.3906,-158.1547,Camp Pālehua
181,Gorontalo,ID,76.14,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
183,Albanel,CA,68.14,overcast clouds,48.8832,-72.4487,Camping municipal d'Albanel
184,Hualmay,PE,63.3,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
187,Ponta Do Sol,PT,79.72,clear sky,32.6667,-17.1,Hotel do Campo
194,Hilo,US,72.81,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
195,Bonavista,CA,62.6,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
197,Vao,NC,70.03,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
201,Camacari,BR,76.77,few clouds,-12.6975,-38.3242,Hotel Cambuci
206,Baykit,RU,69.89,overcast clouds,61.67,96.37,
208,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
210,Waingapu,ID,75.63,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
216,Tabory,RU,68.16,few clouds,58.5198,64.5495,
217,Hays,US,77.14,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
220,Los Llanos De Aridane,ES,73.15,clear sky,28.6585,-17.9182,Valle Aridane
222,Teguise,ES,71.82,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
223,Nivala,FI,79.68,overcast clouds,63.9167,24.9667,Hotelli Huiskankorpi / Aseman majatalo
227,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
228,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
229,Mumford,GH,78.03,overcast clouds,5.2618,-0.759,Spanish Villa
231,Namatanai,PG,79.02,light rain,-3.6667,152.4333,Seagulls Inn Namatani
234,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
235,Beloha,MG,78.67,clear sky,-25.1667,45.05,
237,Manggar,ID,79.81,broken clouds,-2.8833,108.2667,Guest Hotel
238,Dawei,MM,77.05,heavy intensity rain,14.0833,98.2,Hotel Dawei
242,Arlington,US,76.82,scattered clouds,32.7357,-97.1081,Days Inn by Wyndham Arlington Six Flags/AT&T Stadium
244,Pangody,RU,62.47,few clouds,65.85,74.4859,Elizaveta Shevchuk's House
245,Vila Velha,BR,74.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
246,Cheremnoye,RU,73.99,light rain,53.1697,83.2133,
248,Bilibino,RU,65.82,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
249,Sao Sebastiao Do Paraiso,BR,68.27,clear sky,-20.9169,-46.9914,BM Hotel
250,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
251,Sovetskiy,RU,67.35,clear sky,61.3614,63.5842,Apartment on Kievskaya 29
252,Matara,LK,78.8,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
254,Bengkulu,ID,78.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
256,Flin Flon,CA,73.24,smoke,54.7682,-101.865,Victoria Inn Flin Flon
258,Yurimaguas,PE,72.75,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
259,Oga,IT,70.68,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
262,Uppsala,SE,76.57,clear sky,60.0,17.75,Läderskål
264,Kumano,JP,78.17,overcast clouds,34.3442,132.5894,ホテル コラソン
268,Adoni,IN,74.64,moderate rain,15.6333,77.2833,Bheemas Regency
270,Tateyama,JP,76.01,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
272,Muisne,EC,75.51,overcast clouds,0.6,-80.0333,Quinta Samay
278,Lasa,IT,76.08,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
279,Hervey Bay,AU,60.03,light rain,-25.2986,152.8535,Shelly Bay Resort
281,Suzano,BR,67.35,clear sky,-23.5425,-46.3108,Metrópole Palace Hotel
283,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
284,Shimabara,JP,78.67,overcast clouds,32.7833,130.3667,Hotel Nampuro
285,Lala,PH,76.26,moderate rain,7.9745,123.7458,Dennis
286,Terre Haute,US,70.97,overcast clouds,39.4667,-87.4139,Drury Inn & Suites Terre Haute
288,Isangel,VU,73.09,overcast clouds,-19.55,169.2667,Tanna Lodge
289,Francistown,BW,75.0,clear sky,-21.17,27.5079,Budget House
292,Toora-Khem,RU,66.47,overcast clouds,52.4675,96.11,
293,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
295,Saint-Joseph,RE,74.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
299,Athol,US,70.75,overcast clouds,42.5959,-72.2268,Miller's Woods and River Bend
303,Port Hedland,AU,69.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
305,Bogovarovo,RU,74.98,clear sky,58.9785,47.0246,
307,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
308,La Tuque,CA,62.85,clear sky,47.4334,-72.7824,Gîte aux Trois Pignons
311,Newport,GB,68.63,overcast clouds,51.5877,-2.9984,ibis budget Newport
313,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
315,Pangkalanbuun,ID,75.99,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
316,Pasighat,IN,78.49,few clouds,28.0667,95.3333,Siang Guest House
318,Honiara,SB,77.2,overcast clouds,-9.4333,159.95,Heritage Park Hotel
319,Maumere,ID,77.04,scattered clouds,-8.6199,122.2111,Sylvia Hotel
320,Srednekolymsk,RU,75.22,clear sky,67.45,153.6833,
323,San Cristobal,VE,66.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
326,Lompoc,US,62.28,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
327,Manzhouli,CN,65.12,few clouds,49.6,117.4333,Angala International Youth Hostel
330,Winsum,NL,75.22,broken clouds,53.33,6.5208,Tuinhuis
336,Barabash,RU,69.48,broken clouds,43.2,131.4833,
337,Kasane,BW,79.47,clear sky,-17.8167,25.15,The Old House
338,Machilipatnam,IN,78.51,light rain,16.1667,81.1333,R&B Bungalow
339,Bururi,BI,71.22,overcast clouds,-3.85,29.6333,
341,Mount Darwin,ZW,76.57,clear sky,-16.7725,31.5838,
343,Ostersund,SE,70.25,broken clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
346,Cleethorpes,GB,71.98,scattered clouds,53.5605,-0.0323,Comat Hotel
348,Formosa,AR,62.58,mist,-26.1775,-58.1781,Hotel Portal del Sol
351,Cherskiy,RU,69.21,scattered clouds,68.75,161.3,Gostinitsa
352,Chicama,PE,61.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
358,Katsuura,JP,76.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
359,Mareeba,AU,65.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
360,Pacifica,US,66.42,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
361,Puerto Gaitan,CO,76.69,overcast clouds,4.3133,-72.0816,Brisas del Yucao
362,Chipinge,ZW,72.14,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
364,Birin,NP,66.4,overcast clouds,26.8865,88.0718,Sangam hotel and lodge
367,Katherine,AU,64.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
368,Arica,CL,61.03,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
369,Dzilam Gonzalez,MX,78.22,overcast clouds,21.2833,-88.9333,posadas
374,Kitakyushu,JP,78.69,broken clouds,33.8333,130.8333,Active Resorts FUKUOKA YAHATA
375,Si Bun Ruang,TH,79.48,clear sky,16.9667,102.2833,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
377,Valle De Allende,MX,68.36,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
382,Port Moresby,PG,76.98,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
384,Winnemucca,US,66.25,clear sky,40.973,-117.7357,Winners Inn Casino
385,Karratha,AU,71.2,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
387,Baculin,PH,79.2,broken clouds,7.4525,126.5842,Shovy's Cove
388,Margate,GB,69.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
391,Carauari,BR,76.17,overcast clouds,-4.8828,-66.8958,Hotel Fellip
392,Omboue,GA,79.25,overcast clouds,-1.5746,9.2618,Hotel Olako
393,Vohibinany,MG,70.97,light rain,-17.35,49.0333,
