City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sept-Iles,CA,2021-07-11 10:39:33,50.2001,-66.3821,57.06,90,75,1.99
68,Bredasdorp,ZA,2021-07-11 10:32:51,-34.5322,20.0403,64.27,51,0,5.75
69,De-Kastri,RU,2021-07-11 10:39:33,51.4667,140.7833,58.24,99,75,6.26
70,Hithadhoo,MV,2021-07-11 10:32:57,-0.6,73.0833,82.31,71,84,5.5
71,Fare,PF,2021-07-11 10:33:10,-16.7,-151.0167,80.15,72,59,21.63
72,Grindavik,IS,2021-07-11 10:33:16,63.8424,-22.4338,57.56,94,90,10.36
73,Nizwa,OM,2021-07-11 10:39:33,22.9333,57.5333,109.26,19,26,8.9
74,Hambantota,LK,2021-07-11 10:37:50,6.1241,81.1185,84.54,84,75,10.36
75,Arraial Do Cabo,BR,2021-07-11 10:33:06,-22.9661,-42.0278,60.66,100,40,0.0
76,Codrington,AU,2021-07-11 10:33:21,-38.2667,141.9667,51.03,58,86,13.42
77,Constitucion,CL,2021-07-11 10:33:37,-35.3333,-72.4167,42.64,80,3,7.16
78,Mechetinskaya,RU,2021-07-11 10:39:34,46.7713,40.456,94.59,30,44,4.92
79,Husavik,IS,2021-07-11 10:32:57,66.0449,-17.3389,49.91,82,73,7.81
80,Simao,CN,2021-07-11 10:39:34,22.7886,100.9748,72.7,87,100,2.68
81,Shizunai,JP,2021-07-11 10:39:34,42.3339,142.3669,64.18,96,100,7.72
82,Ternate,ID,2021-07-11 10:33:04,0.8,127.4,80.49,81,98,4.05
83,Lagoa,PT,2021-07-11 10:32:45,39.05,-27.9833,66.06,72,100,17.4
84,Atuona,PF,2021-07-11 10:33:06,-9.8,-139.0333,77.97,79,30,20.56
85,Longyearbyen,SJ,2021-07-11 10:37:23,78.2186,15.6401,42.64,75,75,16.11
86,Saint-Augustin,CA,2021-07-11 10:37:43,51.226,-58.6502,59.81,72,4,2.44
87,Igrim,RU,2021-07-11 10:39:35,63.1906,64.4162,70.43,31,17,4.76
88,Ghanzi,BW,2021-07-11 10:39:35,-21.5667,21.7833,72.19,17,0,9.04
89,Taunggyi,MM,2021-07-11 10:39:35,20.7833,97.0333,72.64,86,70,2.39
90,Naze,JP,2021-07-11 10:32:23,28.3667,129.4833,81.52,83,97,4.34
91,Lebu,CL,2021-07-11 10:32:57,-37.6167,-73.65,45.75,80,6,13.24
92,Jamestown,US,2021-07-11 10:33:57,42.097,-79.2353,63.99,95,1,8.05
93,Kayerkan,RU,2021-07-11 10:39:36,69.3497,87.7602,50.74,44,66,8.21
94,Campoverde,PE,2021-07-11 10:39:36,-8.4753,-74.8058,68.9,99,73,1.3
95,Hami,CN,2021-07-11 10:31:58,42.8,93.45,99.77,16,29,5.08
96,Davila,PH,2021-07-11 10:39:36,18.4726,120.5763,85.98,77,97,1.03
97,Esperance,AU,2021-07-11 10:33:28,-33.8667,121.9,51.64,66,20,5.68
98,Pochutla,MX,2021-07-11 10:33:37,15.7432,-96.4661,76.82,89,65,5.66
99,Mar Del Plata,AR,2021-07-11 10:29:12,-38.0023,-57.5575,46.0,75,0,17.0
100,Cabra,ES,2021-07-11 10:39:37,37.4725,-4.4421,102.18,28,60,1.01
101,Chicama,PE,2021-07-11 10:32:57,-7.8447,-79.1469,63.07,92,52,2.26
102,Axim,GH,2021-07-11 10:31:55,4.8699,-2.2405,81.82,61,59,7.27
103,Bushehr,IR,2021-07-11 10:39:37,28.9684,50.8385,98.69,59,5,18.41
104,Jacareacanga,BR,2021-07-11 10:39:37,-6.2222,-57.7528,73.83,64,97,2.06
105,Souillac,MU,2021-07-11 10:33:58,-20.5167,57.5167,77.38,53,40,17.27
106,Butaritari,KI,2021-07-11 10:33:11,3.0707,172.7902,82.26,75,93,13.49
107,Piacabucu,BR,2021-07-11 10:39:37,-10.4056,-36.4344,76.39,82,29,7.25
108,Lompoc,US,2021-07-11 10:33:06,34.6391,-120.4579,62.28,75,90,3.44
109,Sirjan,IR,2021-07-11 10:39:38,29.452,55.6814,102.25,7,7,7.23
110,Cayenne,GF,2021-07-11 10:33:46,4.9333,-52.3333,77.09,90,20,3.0
111,Macau,MO,2021-07-11 10:38:15,22.2006,113.5461,90.07,74,20,10.36
112,Puerto Ayora,EC,2021-07-11 10:31:19,-0.7393,-90.3518,70.56,88,56,3.0
113,Tahta,EG,2021-07-11 10:39:38,26.7693,31.5021,98.92,18,16,12.35
114,Craigieburn,AU,2021-07-11 10:39:38,-37.6,144.95,52.11,78,0,4.61
115,Orotukan,RU,2021-07-11 10:39:39,62.2667,151.7,64.63,62,2,13.69
116,Faanui,PF,2021-07-11 10:33:15,-16.4833,-151.75,80.28,73,27,22.93
117,Puerto Baquerizo Moreno,EC,2021-07-11 10:32:52,-0.9,-89.6,70.74,77,48,10.92
118,Ketchikan,US,2021-07-11 10:33:36,55.3422,-131.6461,57.67,94,90,5.75
119,Segou,ML,2021-07-11 10:32:44,13.4317,-6.2157,85.78,53,57,6.35
120,Kahului,US,2021-07-11 10:31:24,20.8947,-156.47,75.22,73,1,16.11
121,Upernavik,GL,2021-07-11 10:33:07,72.7868,-56.1549,38.57,68,25,9.73
122,Fortuna,US,2021-07-11 10:33:19,40.5982,-124.1573,54.86,95,90,0.0
123,Carutapera,BR,2021-07-11 10:34:15,-1.195,-46.02,79.09,88,72,6.67
124,Marienburg,PL,2021-07-11 10:39:39,54.0359,19.0266,75.88,52,11,7.47
125,Aklavik,CA,2021-07-11 10:39:40,68.2191,-135.0107,59.83,41,70,8.93
126,Kodiak,US,2021-07-11 10:33:05,57.79,-152.4072,51.31,82,90,12.66
127,Valparaiso,CL,2021-07-11 10:31:31,-33.0393,-71.6273,49.48,78,0,0.0
128,Jiaocheng,CN,2021-07-11 10:39:40,24.6774,116.1389,83.89,73,100,3.56
129,Kaitangata,NZ,2021-07-11 10:32:41,-46.2817,169.8464,41.94,81,62,7.2
130,Saint-Philippe,RE,2021-07-11 10:33:12,-21.3585,55.7679,75.22,77,52,15.14
131,Semey,KZ,2021-07-11 10:37:51,50.4111,80.2275,80.82,41,0,11.18
132,Ilo,PE,2021-07-11 10:39:40,-17.6394,-71.3375,57.94,83,71,2.42
133,Kulhudhuffushi,MV,2021-07-11 10:39:41,6.6221,73.07,82.2,81,100,16.53
134,Puerto Escondido,MX,2021-07-11 10:34:40,15.85,-97.0667,77.04,81,63,5.59
135,Avarua,CK,2021-07-11 10:33:14,-21.2078,-159.775,75.25,83,40,8.05
136,Nantucket,US,2021-07-11 10:37:22,41.2835,-70.0995,66.96,93,1,6.91
137,Luderitz,NA,2021-07-11 10:34:01,-26.6481,15.1594,65.73,45,12,8.72
138,Yellandu,IN,2021-07-11 10:33:24,17.6,80.3333,83.79,75,100,7.87
139,Chokurdakh,RU,2021-07-11 10:32:52,70.6333,147.9167,58.24,74,99,5.21
