City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Georgetown,MY,5.4112,100.3354,76.95,95,40,1.99,light rain
80,Wakkanai,JP,45.4094,141.6739,64.51,94,24,7.96,few clouds
81,Benguela,AO,-12.5763,13.4055,77.85,66,33,11.05,scattered clouds
82,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,87,75,12.66,broken clouds
83,Sitka,US,57.0531,-135.33,53.49,76,90,4.61,overcast clouds
84,Sotnikovo,RU,51.8845,107.4791,75.29,53,20,8.95,few clouds
85,Nome,US,64.5011,-165.4064,48.16,95,100,0.92,light rain
86,Alyangula,AU,-13.8483,136.4192,71.47,83,48,3.44,scattered clouds
87,Norman Wells,CA,65.282,-126.8329,57.24,62,75,4.61,broken clouds
88,Dikson,RU,73.5069,80.5464,34.56,99,100,18.34,overcast clouds
89,Quatre Cocos,MU,-20.2078,57.7625,73.51,66,76,19.44,broken clouds
90,Itarema,BR,-2.9248,-39.9167,84.65,58,42,16.42,scattered clouds
91,Souillac,MU,-20.5167,57.5167,73.78,68,40,16.11,scattered clouds
92,Pontivy,FR,48.0,-3.0,67.42,68,100,10.2,overcast clouds
93,Nea Makri,GR,38.0833,23.9833,93.72,30,0,7.0,clear sky
94,Castro,BR,-24.7911,-50.0119,59.76,63,0,3.83,clear sky
95,Kearney,US,40.6995,-99.0815,61.36,94,1,9.22,clear sky
96,Saint-Francois,FR,46.4154,3.9054,76.68,56,75,4.61,broken clouds
97,Buraydah,SA,26.326,43.975,117.05,5,11,2.55,few clouds
98,Lakes Entrance,AU,-37.8811,147.981,42.19,83,100,5.7,overcast clouds
99,Yar-Sale,RU,66.8333,70.8333,61.29,47,100,20.0,overcast clouds
100,Tongliao,CN,43.6125,122.2653,80.22,75,84,13.2,broken clouds
101,Yulara,AU,-25.2406,130.9889,58.84,36,5,9.22,clear sky
102,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,78,0,11.5,clear sky
103,Pacific Grove,US,36.6177,-121.9166,64.8,97,13,3.0,few clouds
104,Parabel,RU,58.6978,81.4825,65.32,69,96,5.95,overcast clouds
